"","X.2","X.1","X","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent","dup_population_2020"
"116",132,132,132,"Namibia",2540905,1.86,46375,3,823290,-4806,3.4,22,55,0.03,11.5,11451,63.4,"Africa",2540905
"117",133,133,133,"Nepal",29136808,1.85,528098,203,143350,41710,1.9,25,21,0.37,9.6,3550,70.5,"Asia",29136808
"118",134,134,134,"Netherlands",17134872,0.22,37742,508,33720,16000,1.7,43,92,0.22,9.6,60299,82.1,"Europe",17134872
"119",136,136,136,"New Zealand",4822233,0.82,39170,18,263310,14881,1.9,38,87,0.06,11.6,42045,82.1,"Oceania",4822233
"120",137,137,137,"Nicaragua",6624554,1.21,79052,55,120340,-21272,2.4,26,57,0.08,11.9,5297,74.3,"North America",6624554
"121",138,138,138,"Niger",24206644,3.84,895929,19,1266700,4000,7,15,17,0.31,9,1152,62,"Africa",24206644
"122",139,139,139,"Nigeria",206139589,2.58,5175990,226,910770,-60000,5.4,18,52,2.64,17.3,6172,54.3,"Africa",206139589
"123",141,141,141,"North Macedonia",2083374,0,-85,83,25220,-1000,1.5,39,59,0.03,6.2,17378,75.7,"Europe",2083374
"124",142,142,142,"Norway",5421241,0.79,42384,15,365268,28000,1.7,40,83,0.07,10.1,79638,82.5,"Europe",5421241
"125",143,143,143,"Oman",5106626,2.65,131640,16,309500,87400,2.9,31,87,0.07,3.5,48593,77.6,"Asia",5106626
"126",144,144,144,"Pakistan",220892340,2,4327022,287,770880,-233379,3.6,23,35,2.83,3.1,6016,67.1,"Asia",220892340
"127",145,145,145,"Panama",4314767,1.61,68328,58,74340,11200,2.5,30,68,0.06,4.4,28456,78.3,"North America",4314767
"128",146,146,146,"Papua New Guinea",8947024,1.95,170915,20,452860,-800,3.6,22,13,0.11,7,4081,64.3,"Oceania",8947024
"129",147,147,147,"Paraguay",7132538,1.25,87902,18,397300,-16556,2.4,26,62,0.09,9.3,13213,74.1,"South America",7132538
"130",148,148,148,"Peru",32971854,1.42,461401,26,1280000,99069,2.3,31,79,0.42,5.1,15399,76.5,"South America",32971854
"131",149,149,149,"Philippines",109581078,1.35,1464463,368,298170,-67152,2.6,26,47,1.41,3.7,10094,71.1,"Asia",109581078
"132",150,150,150,"Poland",37846611,-0.11,-41157,124,306230,-29395,1.4,42,60,0.49,13.4,35651,78.5,"Europe",37846611
"133",151,151,151,"Portugal",10196709,-0.29,-29478,111,91590,-6000,1.3,46,66,0.13,8.6,34936,81.9,"Europe",10196709
"134",154,154,154,"Romania",19237691,-0.66,-126866,84,230170,-73999,1.6,43,55,0.25,8,29555,75.9,"Europe",19237691
"135",155,155,155,"Russia",145934462,0.04,62206,9,16376870,182456,1.8,40,74,1.87,26.5,30820,72.4,"Europe",145934462
"136",156,156,156,"Rwanda",12952218,2.58,325268,525,24670,-9000,4.1,20,18,0.17,11,2642,68.7,"Africa",12952218
"137",158,158,158,"Saint Lucia",183627,0.46,837,301,610,0,1.4,34,19,0,7.3,15159,76.1,"North America",183627
"138",159,159,159,"Samoa",198414,0.67,1317,70,2830,-2803,3.9,22,18,0,5.4,6493,73.2,"Oceania",198414
"139",161,161,161,"Saudi Arabia",34813871,1.59,545343,16,2149690,134979,2.3,32,84,0.45,3.4,56912,75,"Asia",34813871
"140",162,162,162,"Senegal",16743927,2.75,447563,87,192530,-20000,4.7,19,49,0.21,11.8,4079,67.7,"Africa",16743927
"141",163,163,163,"Serbia",8737371,-0.4,-34864,100,87460,4000,1.5,42,56,0.11,10.9,19767,75.8,"Europe",8737371
"142",164,164,164,"Seychelles",98347,0.62,608,214,460,-200,2.5,34,56,0,8.3,33118,73.3,"Africa",98347
"143",165,165,165,"Sierra Leone",7976983,2.1,163768,111,72180,-4200,4.3,19,43,0.1,16.1,1765,54.3,"Africa",7976983
