"","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent"
"180","Sweden",10099265,0.63,62886,25,410340,40000,1.9,41,88,0.13,13.8,55989,82.7,"Europe"
"181","Switzerland",8654622,0.74,63257,219,39516,52000,1.5,43,74,0.11,11.3,67558,NA,"Europe"
"182","Syria",17500658,2.52,430523,95,183630,-427391,2.8,26,60,0.22,2.4,NA,71.8,"Asia"
"183","Taiwan",23816775,0.18,42899,673,35410,30001,1.2,42,79,0.31,NA,57214,NA,"Asia"
"184","Tajikistan",9537645,2.32,216627,68,139960,-20000,3.6,22,27,0.12,3.3,3751,70.9,"Asia"
"185","Tanzania",59734218,2.98,1728755,67,885800,-40076,4.9,18,37,0.77,9.6,3652,65,"Africa"
"186","Thailand",69799978,0.25,174396,137,510890,19444,1.5,40,51,0.9,12.9,21361,76.9,"Asia"
"187","Timor-Leste",1318445,1.96,25326,89,14870,-5385,4.1,21,33,0.02,6.4,5321,69.3,"Asia"
"188","Togo",8278724,2.43,196358,152,54390,-2000,4.4,19,43,0.11,16.6,1913,60.8,"Africa"
"189","Tonga",105695,1.15,1201,147,720,-800,3.6,22,24,0,4,6867,70.8,"Oceania"
"190","Trinidad and Tobago",1399488,0.32,4515,273,5130,-800,1.7,36,52,0.02,12.9,33713,73.4,"Americas"
"191","Tunisia",11818619,1.06,123900,76,155360,-4000,2.2,33,70,0.15,3.2,13093,76.5,"Africa"
"192","Turkey",84339067,1.09,909452,110,769630,283922,2.1,32,76,1.08,7.2,29327,78.3,"Asia"
"193","Turkmenistan",6031200,1.5,89111,13,469930,-5000,2.8,27,53,0.08,7.2,21855,68.1,"Asia"
"194","U.S. Virgin Islands",104425,-0.15,-153,298,350,-451,2,43,96,0,NA,NA,NA,"Americas"
"195","Uganda",45741007,3.32,1471413,229,199810,168694,5,17,26,0.59,20,2753,63,"Africa"
"196","Ukraine",43733762,-0.59,-259876,75,579320,10000,1.4,41,69,0.56,18.5,10130,72,"Europe"
"197","United Arab Emirates",9890402,1.23,119873,118,83600,40000,1.4,33,86,0.13,2.7,70441,77.8,"Asia"
"198","United Kingdom",67886011,0.53,355839,281,241930,260650,1.8,40,83,0.87,7.6,48169,81.2,"Europe"
"199","United States of America",331002651,0.59,1937734,36,9147420,954806,1.8,38,83,4.25,13.7,67426,78.9,"Americas"
"200","Uruguay",3473730,0.35,11996,20,175020,-3000,2,36,96,0.04,16.5,24516,77.8,"Americas"
"201","Uzbekistan",33469203,1.48,487487,79,425400,-8863,2.4,28,50,0.43,7.4,9595,71.5,"Asia"
"202","Vanuatu",307145,2.42,7263,25,12190,120,3.8,21,24,0,5.4,3039,70.3,"Oceania"
"203","Venezuela",28435940,-0.28,-79889,32,882050,-653249,2.3,30,NA,0.36,3.8,16055,72.1,"Americas"
"204","Vietnam",97338579,0.91,876473,314,310070,-80000,2.1,32,38,1.25,7,8677,75.3,"Asia"
"205","Western Sahara",597339,2.55,14876,2,266000,5582,2.4,28,87,0.01,NA,NA,NA,"Africa"
"206","Yemen",29825964,2.28,664042,56,527970,-30000,3.8,20,38,0.38,9.8,2312,66.1,"Asia"
"207","Zambia",18383955,2.93,522925,25,743390,-8000,4.7,18,45,0.24,11.3,4174,63.5,"Africa"
"208","Zimbabwe",14862924,1.48,217456,38,386850,-116858,3.6,19,38,0.19,19.1,2778,61.2,"Africa"
"209","Greenland",56367,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,48182,71.25,"Americas"
"210","Somaliland",16537016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Africa"
